"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","hrt_pre","hrt_post","sob_pre","sob_post","fever_pre","fever_post","aph_pre","aph_post"
"Q 1","93.3","93.3","50.0","55.8","92.3","95.7","89.4","91.6","92.0","90.6","9.8","16.4","40.3","76.5"
"Q 2","70.4","82.3","78.6","87.1","70.9","73.6","75.9","80.2","51.3","61.2","37.7","36.1","90.0","90.7"
"Q 3","53.7","68.7","84.6","86.6","70.2","77.7","28.2","28.7","47.0","63.6","42.6","54.1","78.5","82.9"
"Q 4","64.9","62.9","65.7","74.0","78.4","78.9","31.6","37.6","43.9","48.2","0.0","0.0","88.5","91.0"
"Q 5","97.0","98.5","97.2","98.6","84.8","90.0","83.6","82.4","67.5","83.4","42.6","40.2","73.8","73.6"
"Q 6","73.9","81.1","86.4","84.6","50.7","66.8","73.3","74.0","88.0","89.9","1.6","4.1","83.6","87.5"
"Q 7","88.8","93.0","22.6","38.7","88.4","91.4","86.3","92.0","85.8","89.6","73.8","79.5","83.4","87.5"
"Q 8","67.9","82.3","56.9","53.0","79.5","78.9","84.8","83.4","0.0","0.0","39.3","57.4","82.2","84.8"
"Q 9","63.2","83.3","51.2","59.9","1.8","1.8","81.4","84.8","0.0","0.0","13.9","13.1","78.2","85.1"
"Q 10","58.7","70.1","71.9","73.3","83.4","85.0","81.9","84.1","0.0","0.0","27.9","25.4","79.2","85.6"
